Transcript of https://www.youtube.com/watch?v=bmbL3YdInYg

0:1010 sec      [mūzika]
0:2222 sec      [mūzika]
0:2828 sec      [mūzika]
0:4545 sec      [mūzika]
1:001 minute[mūzika]
1:061 minute, 6 sec      [mūzika]
1:211 minute, 21 sec      [mūzika]
1:321 minute, 32 sec      [mūzika]
1:361 minute, 36 sec      [mūzika]
1:541 minute, 54 sec      [mūzika]
2:092 minutes, 9 sec      [mūzika]
2:142 minutes, 14 sec      [mūzika]
2:282 minutes, 28 sec      [mūzika]
2:332 minutes, 33 sec      [mūzika]
3:583 minutes, 58 sec      เฮ
6:046 minutes, 4 sec      [mūzika]
6:276 minutes, 27 sec      [mūzika]
6:416 minutes, 41 sec      [mūzika]
6:516 minutes, 51 sec      [mūzika]
7:217 minutes, 21 sec      Jūsu ekselence ģenerālsekretāra kungs, augsti godājamais ministra kungs, dārgie klātesošie un Arī tiešraides skatītāji,
7:287 minutes, 28 sec      laipni lūdzam jūs OECD ekonomiskā pārskata par Latviju prezentācijas pasākumā. Mans vārds ir Artis Ozoliņš.
7:357 minutes, 35 sec      Būs prieks šodien būt kopā ar jums. Šis ir jau sestais OBCD ekonomikas pārskats par Latviju. Un tādi, protams, top ik
7:437 minutes, 43 sec      pēc diviem gadiem. Un arī šogad pie mums ir no Parīzes ir atlēs ģenerālsekretāra kungs. Klātesošie ir OECD eksperti, kuri
7:507 minutes, 50 sec      ir veidojuši šo pārskatu. Un tāpēc arī pirmajā daļā uzklausīsim gan viņa ekselences ģenerālsekretāra kungu, gan augsti godājamo ekonomikas ministru. Pēc
7:597 minutes, 59 sec      uzrunām jums būs iespēja uzdot jautājumus un jau vēlāk pēc kafijas pauzes nodosimies vēl līmeni dziļāk,
8:068 minutes, 6 sec      dzirdēsim detalizētāku prezentāciju par secinājumiem un rekomendācijām, un arī noslēgsim ar ekspertu paneli, tai skaitā arī ar vietējiem stakeikholderiem.
8:168 minutes, 16 sec      Pasākums tiek straumēts un arī ierakstīts YouTube platformā. Un, starp citu, klātesošajiem ir izdales
8:238 minutes, 23 sec      materiāli, kuros ir QR kods. Tur varat jau šobrīd atrast arī pārskatu digitālā versijā. Taču sāksim pasākumu un
8:328 minutes, 32 sec      atklāsim ar ievad uzrunu no ģenerālsekretāra kunga, tāpēc ļaujiet pārslēgties uz angļu valodu. Present overvation
8:418 minutes, 41 sec      OECD analysis. I of all invite to stage his excellency secretary general of the organization for economic cooperation
8:498 minutes, 49 sec      and development corrid
8:548 minutes, 54 sec      [aplausi]
9:029 minutes, 2 sec      minister damun
9:069 minutes, 6 sec      [aplausi]
9:109 minutes, 10 sec      minister Minister
9:199 minutes, 19 sec      thank you and very thank you for very warm welcome to reg for the opportunity
9:279 minutes, 27 sec      present 2026 OECD economic surve of Latvia to you minister it is a real
9:369 minutes, 36 sec      pleasure to be back here with you and thank you for your leadership
9:489 minutes, 48 sec      surve milestone anniversary Latvia membership
9:579 minutes, 57 sec      joining over the pcade Latvia has valuable
10:0310 minutes, 3 sec      perspectives to the OECD as an open digitally advanced and dynamic post transition
10:1510 minutes, 15 sec      Latvia Latvies
10:3210 minutes, 32 sec      innovation and looked latv
10:3910 minutes, 39 sec      decaler benefits families across Latvia indeed
10:5010 minutes, 50 sec      today in Latvia people are more people are in work and wages and living standards are substantially higher in
10:5810 minutes, 58 sec      fact since joining the OECD wages growth adjusted forlation wages have increased
11:0511 minutes, 5 sec      by incred 0.8%
11:1911 minutes, 19 sec      Latvia proven resilient energy crisis
